player_id,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
138399,41231,1990-12-12,Midfield,2000000.0,3200000.0,2023-06-30,2022,1990,32,8,4,30,0,16141,9,1,3,0,2005,0,1,9,0,4971,5,58,511.5206896551725,0,6,0,2966,5,34,309.07352941176475,1,1076.4045638945233,29.63903825798033
502298,968,2001-04-25,Midfield,800000.0,900000.0,2023-06-30,2022,2001,21,4,1,5,0,1121,1,0,3,0,526,0,0,4,0,599,0,11,65.84545454545454,0,1,0,73,0,2,11.0,1,109.80627705627705,3.023540177925422
148485,41231,1992-06-12,Defender,1500000.0,2500000.0,2023-06-30,2022,1992,30,8,2,24,0,10552,15,2,4,0,2109,5,2,7,0,4053,7,59,417.1194915254237,0,3,0,1944,2,28,203.59285714285716,1,829.325427764326,22.83565947815081
74081,41231,1990-06-27,Defender,1500000.0,2000000.0,2023-06-30,2022,1990,32,6,10,42,0,13284,16,1,11,0,2537,4,6,19,0,5182,9,61,529.2450819672132,5,8,0,2645,5,31,274.8822580645162,1,1068.787381015336,29.429297439010345
380761,41231,1995-11-09,Defender,2000000.0,2000000.0,2024-06-30,2022,1995,27,2,2,5,0,2725,5,2,5,0,2635,5,2,5,0,2725,5,33,283.4075757575758,0,0,0,90,0,1,18.1,1,443.2261784511785,12.204331067236323
296963,41231,1994-08-14,Defender,700000.0,1800000.0,2023-06-30,2022,1994,28,4,2,22,0,5182,1,0,3,0,434,0,0,11,0,1997,0,33,206.3015151515152,0,7,0,1518,0,21,159.37857142857143,1,468.8594155844156,12.91014793345164
536475,41231,2000-11-10,Defender,700000.0,1200000.0,2025-06-30,2022,2000,22,2,2,10,1,2342,0,1,1,1,431,0,2,10,1,2342,0,36,241.60555555555558,0,5,0,1211,0,17,128.67352941176472,1,491.1000445632799,13.52254858214556
231724,41231,1993-12-10,Defender,1000000.0,1000000.0,2023-06-30,2022,1993,29,4,2,7,1,3840,0,1,5,0,1820,0,2,6,1,2941,0,37,304.0486486486487,1,1,1,1121,0,14,121.00714285714287,1,577.1077020370125,15.89078849476732
557410,3057,2003-01-16,Attack,700000.0,700000.0,2026-06-30,2022,2003,19,3,1,1,0,409,2,0,1,0,61,1,0,1,0,87,1,9,10.766666666666667,0,0,0,26,0,4,3.65,1,19.83157894736842,0.5460669220971524
205023,11127,1995-05-08,Attack,600000.0,1300000.0,2024-12-31,2022,1995,27,8,25,12,1,6598,9,2,0,0,378,0,11,1,0,2173,4,30,231.79333333333335,9,1,0,1615,4,20,175.225,1,522.9742592592594,14.400212148898877
512394,11127,1997-08-05,Attack,2500000.0,2500000.0,2024-06-30,2022,1997,25,4,8,7,0,3891,9,3,3,0,952,4,4,6,0,1992,5,37,210.43378378378378,0,3,0,597,0,16,64.88125000000001,1,380.56392567567565,10.478912047620986
292806,2727,1997-02-07,Midfield,1500000.0,3000000.0,2025-06-30,2022,1997,25,7,7,17,0,12500,13,2,4,0,2534,5,5,8,0,5736,8,65,590.4746153846154,3,4,0,3202,3,36,333.29444444444454,1,1219.0623675213676,33.56715250175253
207528,11127,1992-06-21,Attack,500000.0,2500000.0,2023-06-30,2022,1992,30,9,7,20,1,10767,13,0,2,0,1168,4,0,3,0,1993,6,42,209.5952380952381,0,1,0,825,2,20,89.075,1,403.52785714285716,11.111228990654801
46504,11127,1988-02-05,Attack,800000.0,3500000.0,2023-06-30,2022,1988,34,9,75,34,1,17447,18,12,4,0,2148,1,17,11,0,4026,3,54,420.7555555555556,5,7,0,1878,2,24,199.675,1,830.8612745098039,22.87794935871664
673998,11127,2002-11-15,Midfield,400000.0,400000.0,2023-06-30,2022,2002,20,2,2,2,0,1086,1,1,2,0,643,1,2,2,0,1086,1,31,115.45322580645161,1,0,0,443,0,13,49.15769230769231,1,222.35753101736975,6.12266390336456
447257,11127,1993-02-14,Midfield,800000.0,1000000.0,2023-06-30,2022,1993,29,6,6,25,0,9508,6,1,8,0,2049,2,3,14,0,4495,3,56,462.22678571428577,2,6,0,2446,1,31,255.24032258064517,1,948.6218804624186,26.1205137459246
379181,41231,1992-10-07,Defender,1200000.0,1500000.0,2023-06-30,2022,1992,30,3,4,18,0,4900,13,2,3,0,980,1,2,10,0,3274,5,50,337.04800000000006,0,7,0,2294,4,33,238.30151515151516,1,743.8935151515152,20.48327282789163
288240,11127,1996-07-08,Midfield,900000.0,3000000.0,2023-06-30,2022,1996,26,7,5,25,0,8822,7,0,3,0,394,0,3,10,0,2582,2,43,267.9546511627907,2,6,0,1751,2,29,183.9379310344828,1,585.9237539325151,16.133540437837627
159957,11127,1989-07-20,Midfield,1200000.0,10000000.0,2024-06-30,2022,1989,33,9,18,50,0,19749,30,5,2,0,1293,3,9,9,0,3342,5,49,347.17040816326534,4,6,0,1685,1,24,177.87083333333334,1,698.6809910327768,19.23833595467111
160380,11127,1994-02-28,Midfield,900000.0,2200000.0,2024-06-30,2022,1994,28,8,1,19,0,8095,3,0,3,0,1049,0,0,11,0,3642,0,44,375.22727272727275,0,5,0,1734,0,21,183.00714285714287,1,745.9051948051948,20.538664873055843
393864,41231,1997-10-01,Attack,1700000.0,1800000.0,2025-06-30,2022,1997,25,2,14,4,0,3180,4,5,2,0,1220,0,14,4,0,3180,4,53,334.3,6,0,0,1042,2,18,114.08888888888889,1,615.5548888888889,16.94944030676962
